az_lang	probability
tr	0.43804705142974854
az	0.7693957686424255
az	0.9033911824226379
az	0.986754298210144
az	0.9994131326675415
it	0.3081261217594147
az	0.9516686797142029
az	0.9507085084915161
az	0.9932302236557007
az	0.9999331831932068
az	0.6065874099731445
az	0.9991955757141113
az	0.9999761581420898
az	0.9995864629745483
az	0.9983791708946228
az	0.5633465647697449
az	0.9965963959693909
az	0.93545001745224
az	1.0000793933868408
az	0.998367190361023
az	0.6414140462875366
az	0.8025173544883728
tr	0.1378265619277954
az	0.9948092103004456
tr	0.9831393957138062
az	0.9893726706504822
az	0.9966844916343689
az	0.9999486207962036
az	0.9474131464958191
az	0.9997270703315735
az	1.0000829696655273
tr	0.9834334850311279
tr	0.8376748561859131
az	0.9996552467346191
az	0.9988782405853271
az	0.9980127811431885
az	1.0000346899032593
az	0.9988169074058533
az	0.9990565180778503
az	0.9998586177825928
az	0.9955625534057617
az	1.0000413656234741
az	0.9925366640090942
az	0.9918963313102722
az	0.9942541718482971
tr	0.9592620134353638
az	1.000011682510376
az	0.503922700881958
az	0.9698566198348999
az	0.9907914996147156
az	0.9970235824584961
az	0.9995644688606262
az	0.9959133863449097
tr	0.7977950572967529
az	0.9927826523780823
az	0.8327595591545105
az	0.8327595591545105
az	0.9995351433753967
tr	0.4808959662914276
az	0.9842348694801331
az	0.9663226008415222
tr	0.9666579961776733
az	0.9897949695587158
az	0.9451984167098999
az	0.9995515942573547
az	1.0000662803649902
tr	0.7205185890197754
az	1.0000710487365723
az	0.7885534167289734
az	0.7920807600021362
az	0.7861752510070801
az	0.9801351428031921
az	0.9994605183601379
az	1.0000889301300049
az	1.000065803527832
az	0.9986357092857361
tr	0.9365583062171936
az	0.6469720602035522
az	0.9997923374176025
az	1.0000839233398438
az	0.997291624546051
az	0.4700830578804016
az	0.9913901090621948
az	0.998819887638092
az	1.0000874996185303
az	1.0000567436218262
az	0.9983941912651062
az	0.9998226761817932
az	0.9625198245048523
az	0.7526772618293762
az	0.9151802062988281
az	0.9982871413230896
az	0.9902911186218262
az	0.9981252551078796
az	0.9846451878547668
az	0.9960172772407532
az	0.5629262924194336
az	0.7499707341194153
az	0.7602257132530212
az	1.000033974647522
az	0.9592331051826477
az	0.9987631440162659
tr	0.6846603751182556
