kz_rus_symb_lang	probability
tt	0.7237101197242737
ru	0.48730745911598206
ba	0.4040941894054413
mn	0.40282168984413147
mn	0.7486702799797058
mn	0.7486702799797058
ru	0.8227951526641846
ru	0.8227951526641846
kk	0.38273537158966064
kk	0.4544101655483246
kk	0.975311279296875
ru	0.3298650085926056
ky	0.39588046073913574
kk	0.26290109753608704
kk	0.385297954082489
ru	0.6796244382858276
ky	0.9326633214950562
ru	0.47510701417922974
tt	0.4079149663448334
tt	0.4079149663448334
ru	0.5488994121551514
ru	0.8351051807403564
ky	0.40198075771331787
ky	0.5610798597335815
ky	0.8225235342979431
ky	0.8424953818321228
tt	0.4827592670917511
ky	0.6782644391059875
ky	0.5101073384284973
ky	0.278313010931015
mk	0.5325261950492859
ky	0.6415296792984009
ba	0.3148925304412842
ba	0.3148925304412842
kk	0.5103545188903809
mk	0.5713780522346497
ky	0.857918381690979
mhr	0.41344282031059265
ru	0.9131641387939453
ru	0.9131641387939453
ky	0.33101847767829895
kk	0.6391014456748962
ky	0.5298894643783569
ru	0.7090551257133484
ru	0.5216696262359619
ru	0.4645896255970001
kk	0.6723478436470032
mk	0.42951351404190063
tt	0.7600952982902527
tt	0.4896391034126282
ky	0.5833435654640198
tt	0.8762474060058594
ru	0.4524882733821869
tt	0.5778250694274902
ba	0.19355306029319763
kk	0.6577121615409851
sr	0.37914907932281494
ru	0.6486682891845703
ky	0.6896852850914001
ba	0.4421544075012207
ky	0.7189006209373474
ru	0.48762449622154236
mn	0.6744980812072754
ru	0.8384003043174744
kk	0.715849757194519
ky	0.7705945372581482
ba	0.43116703629493713
ru	0.33873307704925537
ky	0.528895914554596
tt	0.4362589418888092
ru	0.5566827654838562
kk	0.3632296025753021
ky	0.6512267589569092
kk	0.5780770778656006
ky	0.8661139011383057
kk	0.9653840661048889
kk	0.7976611852645874
ky	0.6140400171279907
ba	0.6762140989303589
ru	0.4935362935066223
kk	0.6270094513893127
kk	0.9114934206008911
kk	0.4983487129211426
tt	0.46584463119506836
kk	0.6411232352256775
ky	0.9188574552536011
ru	0.8386172652244568
ru	0.8021174073219299
bg	0.30057674646377563
bg	0.30057674646377563
ky	0.8056235313415527
kk	0.9831059575080872
uk	0.6894659399986267
uk	0.6482363939285278
ru	0.5329201221466064
kk	0.8595110774040222
ky	0.7865498661994934
kk	0.3510238230228424
ru	0.33514276146888733
ky	0.9413103461265564
tt	0.5731495022773743
ru	0.6590854525566101
ky	0.42711010575294495
kk	0.47081974148750305
ru	0.6381399631500244
ky	0.2663206458091736
ky	0.5773903727531433
ky	0.37957149744033813
tt	0.8887360095977783
kk	0.687126874923706
ky	0.3854979872703552
ru	0.415629506111145
ky	0.9647992253303528
mk	0.5844336152076721
ru	0.43239983916282654
mk	0.2861795723438263
ky	0.49730196595191956
ky	0.6714183688163757
mn	0.3250362277030945
ru	0.8049216270446777
ru	0.6444621086120605
kk	0.923463761806488
ky	0.7911670804023743
mk	0.5629065036773682
ky	0.3875696361064911
kk	0.4945276081562042
kk	0.9867944717407227
ky	0.4326840341091156
ru	0.7248439192771912
ky	0.5641781687736511
mn	0.8708223700523376
ce	0.35778212547302246
ce	0.35778212547302246
ky	0.7961869239807129
ky	0.3709990978240967
krc	0.3377690017223358
ky	0.3093092441558838
ba	0.3701298236846924
ru	0.7059074640274048
ky	0.9433622360229492
ru	0.7932302951812744
ky	0.5230940580368042
tt	0.7886865139007568
kk	0.9307578206062317
ky	0.6087814569473267
ru	0.7924192547798157
ky	0.8584230542182922
kk	0.7781078219413757
tt	0.48644351959228516
ru	0.4477132558822632
ky	0.9920430779457092
kk	0.5993425250053406
tt	0.6466721892356873
kk	0.9779172539710999
ky	0.4096297025680542
ru	0.38034507632255554
kk	0.9844978451728821
tt	0.3210591673851013
ru	0.7251105308532715
ky	0.5514544248580933
ky	0.6091533303260803
ky	0.8839355111122131
ru	0.42629554867744446
ky	0.7513864040374756
ky	0.8177094459533691
tt	0.8355316519737244
ky	0.6570271253585815
ky	0.7798207402229309
tt	0.42694011330604553
tt	0.9230366945266724
ky	0.46112707257270813
ky	0.9963350296020508
kk	0.6788635849952698
ru	0.47743093967437744
ky	0.8789307475090027
kk	0.7721613049507141
ky	0.9050344228744507
kk	0.5070433616638184
ky	0.8151626586914062
kk	0.7807868123054504
ru	0.6250389218330383
kk	0.9509001970291138
kk	0.6893302798271179
mn	0.28040507435798645
kk	0.8836921453475952
ky	0.5257497429847717
ky	0.8704314231872559
ky	0.8197036981582642
mk	0.7816119194030762
ky	0.4657685458660126
ky	0.7644014358520508
ky	0.2858354151248932
ky	0.7805774807929993
tt	0.635049045085907
kk	0.8951579928398132
kk	0.8951579928398132
ru	0.696427583694458
ky	0.4401493966579437
ky	0.8768190145492554
ky	0.5150145888328552
kk	0.7670315504074097
ru	0.6892993450164795
ru	0.7428792119026184
ky	0.8831785917282104
tt	0.4700798988342285
ru	0.8713370561599731
ru	0.38542690873146057
ky	0.5276696681976318
ru	0.5857769846916199
kk	0.5562517046928406
ru	0.42197269201278687
ru	0.797935426235199
ky	0.5456910729408264
tt	0.9286179542541504
ru	0.5792370438575745
ky	0.933219850063324
kk	0.6278745532035828
tt	0.6365460157394409
ky	0.6742177605628967
ky	0.8286458849906921
ru	0.32077518105506897
ky	0.9133362770080566
ky	0.9942751526832581
bg	0.401378870010376
bg	0.401378870010376
bg	0.401378870010376
bg	0.401378870010376
kk	0.855522871017456
ky	0.8055582046508789
ky	0.37936586141586304
ky	0.5976956486701965
ky	0.6227332949638367
ru	0.41705507040023804
kk	0.6837923526763916
kk	0.9551763534545898
kk	0.6553133726119995
tt	0.6430727243423462
kk	0.8957749605178833
kk	0.5534176230430603
tt	0.443613201379776
ru	0.5473625659942627
ky	0.6076297760009766
ru	0.5044918060302734
ru	0.4387516677379608
mk	0.24547117948532104
ky	0.8789674639701843
et	0.5846941471099854
ky	0.9754233956336975
ba	0.25693479180336
ru	0.754988968372345
tt	0.5387169122695923
ru	0.6070482730865479
ky	0.9154214262962341
ky	0.9723268747329712
ky	0.8005967736244202
kk	0.7387216687202454
ky	0.9761651158332825
ru	0.6139702796936035
kk	0.6921138167381287
kk	0.6921138167381287
kk	0.5337667465209961
ky	0.6019482016563416
ky	0.57090824842453
kk	0.7846083045005798
ba	0.2973943054676056
ru	0.540270984172821
ru	0.540270984172821
ky	0.8596423268318176
ky	0.9068923592567444
tt	0.3663770854473114
tt	0.3663770854473114
kk	0.42629748582839966
kk	0.42629748582839966
ky	0.9381052851676941
ky	0.9381052851676941
ky	0.9381052851676941
ru	0.8155989646911621
ky	0.6038690209388733
mn	0.32553622126579285
mn	0.32553622126579285
ky	0.7121973633766174
ru	0.36162254214286804
ru	0.36162254214286804
kk	0.4190536439418793
kk	0.4190536439418793
ky	0.9951404929161072
ky	0.863292396068573
ky	0.7732964158058167
ky	0.5547266006469727
ky	0.7490202784538269
ru	0.5592806339263916
bg	0.5859184265136719
bg	0.5859184265136719
bg	0.5859184265136719
bg	0.5859184265136719
kk	0.5760616660118103
kk	0.5869116187095642
mk	0.42748743295669556
ru	0.563054084777832
ru	0.43927648663520813
ru	0.7694365978240967
ru	0.5324590802192688
tt	0.26895448565483093
ru	0.7014726996421814
ru	0.8906112313270569
ru	0.8757244348526001
bg	0.8601890802383423
ru	0.9373091459274292
be	0.22458000481128693
kk	0.982648491859436
ru	0.4416266679763794
ru	0.4416266679763794
mk	0.5795478224754333
ky	0.8962386250495911
tt	0.3643059730529785
ky	0.5897738933563232
ky	0.8924430012702942
ky	0.4799623191356659
ky	0.9543623328208923
mk	0.26082471013069153
ky	0.8020906448364258
kk	0.9181873798370361
mk	0.5193809270858765
sr	0.2411893904209137
tt	0.5727232098579407
ky	0.6660192608833313
ru	0.4361572265625
ba	0.5708537101745605
ru	0.9089706540107727
kk	0.5349957942962646
ky	0.6061548590660095
kk	0.24854415655136108
kk	0.9660283923149109
kk	0.47317805886268616
ru	0.8704767823219299
ky	0.5068215131759644
ru	0.5904067754745483
ru	0.5904067754745483
tt	0.5086881518363953
ru	0.728379487991333
tt	0.46123966574668884
ru	0.4817669093608856
ru	0.5562293529510498
ky	0.7811598181724548
ru	0.7001087069511414
kk	0.646050751209259
kk	0.9789219498634338
kk	0.98652583360672
tt	0.4210928976535797
ru	0.5807238221168518
ky	0.5158726572990417
ky	0.5285910964012146
ky	0.8460415601730347
tt	0.3812372088432312
mn	0.8352640271186829
kk	0.5352466106414795
ky	0.9262726902961731
kk	0.5116018652915955
mn	0.4224343001842499
ky	0.7880539298057556
ru	0.3337145447731018
ky	0.7987990975379944
ky	0.6300254464149475
kk	0.46406903862953186
ky	0.457623690366745
ky	0.92246413230896
tt	0.6864743232727051
kk	0.41195547580718994
ru	0.35366544127464294
ky	0.7824291586875916
tt	0.35362398624420166
ky	0.9594967365264893
ky	0.8565697073936462
kk	0.41701996326446533
tt	0.4010542333126068
kk	0.3906107246875763
ru	0.7758455872535706
ru	0.8975562453269958
kk	0.5274350643157959
ru	0.9476977586746216
ru	0.3533037006855011
ky	0.5853054523468018
ru	0.772341251373291
ky	0.28463873267173767
ky	0.7002553939819336
ky	0.7368466854095459
mhr	0.3172633647918701
ru	0.342060387134552
kk	0.9421709775924683
kk	0.3184206485748291
kk	0.6593374609947205
ky	0.5656741261482239
kk	0.36735206842422485
ky	0.7161048650741577
tt	0.6260712742805481
kk	0.4739648997783661
ky	0.8784700632095337
ky	0.447248637676239
kk	0.6624804735183716
ky	0.7650040984153748
ky	0.7892076373100281
ky	0.6280535459518433
bg	0.402309387922287
ky	0.8966953158378601
ky	0.7284764647483826
bg	0.3836236298084259
ky	0.8601629137992859
be	0.539256751537323
ky	0.5140589475631714
kk	0.3606533706188202
ky	0.9776456952095032
ky	0.5776662826538086
ky	0.4216347336769104
ru	0.6104583740234375
ky	0.7278116345405579
ky	0.7760542631149292
ky	0.5339980125427246
ky	0.9204270839691162
ky	0.9476140737533569
ky	0.8682190775871277
ky	0.5445265769958496
kk	0.5270485877990723
ky	0.8914794325828552
ky	0.9920812845230103
ky	0.5420865416526794
ky	0.5259827971458435
ky	0.5809996724128723
ky	0.5677968859672546
ky	0.5350815057754517
kk	0.6058318018913269
ky	0.5947433710098267
ky	0.41063815355300903
ky	0.7440525889396667
ky	0.694793701171875
ky	0.6564235091209412
ky	0.8377442359924316
kk	0.7805338501930237
ky	0.9737907648086548
ky	0.6861860752105713
ky	0.4965306520462036
ky	0.7453805208206177
ky	0.9771292209625244
ky	0.7620551586151123
ky	0.9936326146125793
mn	0.24022552371025085
ru	0.6868440508842468
kk	0.7544780969619751
ky	0.9513020515441895
ru	0.29488426446914673
ru	0.29488426446914673
ru	0.45116832852363586
kk	0.3776726722717285
ru	0.3931692838668823
ru	0.5851724743843079
ky	0.6394431591033936
kk	0.2494998276233673
ky	0.6822881102561951
kk	0.9144829511642456
ky	0.886679470539093
ky	0.8866881132125854
ky	0.5003203749656677
uz	0.3933880627155304
mhr	0.38838034868240356
kk	0.9206798076629639
ru	0.20902475714683533
ky	0.3834693729877472
ru	0.7692676782608032
ru	0.7472941279411316
ky	0.6373683214187622
ky	0.6274136304855347
ky	0.48797607421875
tt	0.3003332018852234
ru	0.563901960849762
ru	0.563901960849762
tt	0.46233129501342773
tt	0.46233129501342773
ky	0.7735778093338013
ky	0.829592764377594
tt	0.5079347491264343
ru	0.4274607300758362
ky	0.435270756483078
kk	0.5924985408782959
ky	0.8057499527931213
ky	0.46870100498199463
ky	0.5682701468467712
kk	0.5210492014884949
ky	0.8397879004478455
ky	0.686044454574585
ky	0.5862137675285339
kk	0.5076071619987488
av	0.25788936018943787
ru	0.5232200622558594
kk	0.8075859546661377
kk	0.6785020232200623
kk	0.6388489603996277
kk	0.650663435459137
ky	0.6907250881195068
ky	0.5247471928596497
ky	0.4575536847114563
ky	0.4233289361000061
ce	0.2467612624168396
kk	0.8493978977203369
ru	0.420622318983078
ky	0.54059237241745
ru	0.3272811770439148
kk	0.6379520297050476
ky	0.7372177839279175
ru	0.8324053883552551
ky	0.6878705620765686
mhr	0.3311161696910858
kk	0.9339827299118042
sah	0.49023592472076416
ru	0.5025221705436707
ky	0.8312303423881531
kk	0.7910648584365845
ru	0.42325359582901
ru	0.6942306756973267
krc	0.4943552017211914
ru	0.5636765360832214
ru	0.5636765360832214
tt	0.2931888997554779
tt	0.34762492775917053
ru	0.45286959409713745
kk	0.6473338603973389
ru	0.28702282905578613
ky	0.609586775302887
kk	0.59809410572052
kk	0.3620340824127197
ky	0.7989628911018372
tt	0.7295316457748413
tt	0.6182562112808228
ky	0.47965675592422485
mn	0.3245009779930115
ky	0.7326132655143738
ky	0.4175678491592407
ru	0.870730996131897
ky	0.4285143315792084
ru	0.3675008714199066
ky	0.7884879112243652
tt	0.45773446559906006
ru	0.813823401927948
ru	0.35408538579940796
ru	0.5987301468849182
ky	0.62199866771698
kk	0.49940383434295654
sr	0.6915295124053955
be	0.35153359174728394
kk	0.5286790728569031
ky	0.6613467335700989
tt	0.3734349012374878
ru	0.759052574634552
ru	0.759052574634552
ru	0.8965895771980286
ky	0.34412625432014465
ky	0.4187290072441101
tt	0.8637794256210327
kk	0.682471752166748
ky	0.7689318656921387
ky	0.3834579885005951
kk	0.849612295627594
ru	0.5815691351890564
kk	0.6922786235809326
ky	0.38979166746139526
kk	0.2434224635362625
kk	0.2434224635362625
sr	0.7056938409805298
ky	0.9770587086677551
ky	0.9823771119117737
kk	0.4850105941295624
ru	0.4199189841747284
ky	0.684849202632904
ky	0.4202112853527069
ky	0.8392722606658936
ky	0.3960985243320465
mk	0.32144322991371155
mk	0.32144322991371155
ky	0.9047502279281616
ky	0.8857185244560242
ky	0.56160968542099
ky	0.7008808851242065
ky	0.7008808851242065
ky	0.824673056602478
ky	0.824673056602478
ky	0.4967271387577057
ky	0.5030734539031982
tt	0.4267007112503052
ba	0.23027074337005615
ru	0.6547127366065979
ru	0.8762662410736084
ky	0.9516721367835999
ky	0.5196482539176941
mhr	0.26050686836242676
ky	0.39198794960975647
ky	0.9085853695869446
ru	0.45709726214408875
mn	0.34998053312301636
ky	0.2634103000164032
kk	0.5784119963645935
ky	0.7988489866256714
ky	0.6005675792694092
ky	0.9917828440666199
ky	0.885115921497345
ru	0.3859710097312927
kk	0.5328198671340942
ky	0.4476111829280853
ru	0.67437344789505
tt	0.9591292142868042
ru	0.48710912466049194
ru	0.8299606442451477
sr	0.49742287397384644
ru	0.38951581716537476
ru	0.17701658606529236
kk	0.3893634080886841
ky	0.5479997396469116
cv	0.27324146032333374
ky	0.8051789402961731
ru	0.3398536741733551
ky	0.5590343475341797
ky	0.6589100360870361
tt	0.403845876455307
ky	0.4640071392059326
kk	0.6054136157035828
kk	0.916462242603302
ky	0.9997783303260803
ky	0.5983951687812805
ky	0.8917747139930725
tt	0.9503599405288696
kk	0.9155119061470032
kk	0.26126182079315186
tt	0.5051224827766418
ky	0.9493154287338257
ky	0.5519120097160339
ba	0.4190438985824585
ky	0.5496532320976257
ky	0.8751550912857056
tt	0.37843260169029236
kk	0.586946427822113
ky	0.6677924394607544
ky	0.9989304542541504
ky	0.9297710061073303
ky	0.9297710061073303
kk	0.8110558986663818
kk	0.8906753659248352
kk	0.9978510141372681
kk	0.9978510141372681
ru	0.9732397794723511
ru	0.7574048042297363
ky	0.9385047554969788
mn	0.6572465896606445
bg	0.42366600036621094
ru	0.8118717670440674
tt	0.5366272330284119
tt	0.40178680419921875
tt	0.40178680419921875
tt	0.5024219155311584
kk	0.6994662284851074
kk	0.4851956069469452
ru	0.4246038496494293
ky	0.5874047875404358
ru	0.9363493323326111
ru	0.36179590225219727
ky	0.49358272552490234
ru	0.7399826049804688
kk	0.6022672653198242
sr	0.36133256554603577
ky	0.5834593772888184
ru	0.8021661639213562
ru	0.8021661639213562
be	0.7564622759819031
be	0.7564622759819031
be	0.7564622759819031
kk	0.4508264660835266
mk	0.5596703886985779
ky	0.644709587097168
ru	0.8015732169151306
ru	0.7657185792922974
tt	0.5829575657844543
mr	0.6951028108596802
tt	0.6539100408554077
ky	0.5606659650802612
ky	0.9667884707450867
ky	0.9763810634613037
ky	0.9763810634613037
ce	0.31703272461891174
ba	0.7349624037742615
ky	0.8339142799377441
ky	0.737287700176239
ky	0.6408724784851074
ru	0.5903487205505371
ky	0.8514018058776855
tt	0.42559680342674255
tt	0.32241302728652954
ky	0.4433492124080658
ru	0.9323238730430603
kk	0.7958061695098877
kk	0.7958061695098877
tt	0.4282010495662689
kk	0.5349017381668091
