es_lang	probability
es	0.9925586581230164
es	0.9093124866485596
es	0.9976574778556824
es	0.9976574778556824
es	0.9976574778556824
es	0.9995025396347046
es	0.998867392539978
es	0.9609560370445251
es	0.9952012300491333
es	0.8870344758033752
es	0.9181995987892151
es	0.9181995987892151
es	0.9787119030952454
es	0.9491428732872009
es	0.9797549247741699
es	0.9797549247741699
es	0.9797549247741699
es	0.5760019421577454
es	0.9998237490653992
es	0.9998237490653992
es	0.9990344047546387
es	0.9990344047546387
es	0.9977235794067383
es	0.9603188037872314
es	0.9225621223449707
es	0.9211418628692627
es	0.9535245895385742
es	0.9800750017166138
ca	0.5290135741233826
es	0.9765689969062805
es	0.9765689969062805
es	0.9943702816963196
es	0.9865251183509827
es	0.8470647931098938
es	0.9998693466186523
es	0.9712706208229065
es	0.9989343285560608
es	0.9596772193908691
es	0.8133748769760132
es	0.9975271821022034
es	0.9956300854682922
es	0.993159294128418
es	0.8874168395996094
es	0.9694890975952148
es	0.9998593926429749
es	0.5421555638313293
es	0.9982988834381104
es	0.9449893236160278
es	0.9975143671035767
es	0.9301337003707886
es	0.989081859588623
es	0.9978293180465698
es	0.9999163150787354
es	0.989771842956543
es	0.9987081289291382
es	0.9971996545791626
es	0.8578130602836609
es	0.996979296207428
es	0.894507884979248
es	0.48461487889289856
es	0.929456353187561
es	0.998041033744812
es	0.9375714063644409
es	0.9486098885536194
es	0.9908245205879211
es	0.9959208965301514
es	0.962172269821167
es	0.9517325162887573
es	0.9859417676925659
es	0.9859417676925659
es	0.9999011754989624
es	0.8565804958343506
es	0.9907695651054382
es	0.9998989701271057
es	0.9999548196792603
es	0.9700148105621338
es	0.9976462721824646
es	0.9470564126968384
es	0.9920663237571716
es	0.9920663237571716
es	0.9942916035652161
es	0.9797569513320923
es	0.9867984652519226
es	0.9898242950439453
es	0.9783008694648743
es	0.9806138277053833
es	0.9809501767158508
es	0.9549474716186523
es	0.998106837272644
es	0.9979144930839539
es	0.9485610127449036
es	0.9967383146286011
es	0.9640559554100037
es	0.936242401599884
es	0.8406442403793335
es	0.9768375158309937
es	0.9985630512237549
es	0.9999790787696838
es	0.8947868347167969
es	0.9907935261726379
es	0.9918908476829529
es	0.9899553656578064
es	0.9997835159301758
es	0.999525249004364
es	0.7594581246376038
es	0.9557387232780457
es	0.9677423238754272
es	0.9993278980255127
es	0.9824188947677612
es	0.9823068380355835
es	0.9988232254981995
es	0.9849633574485779
es	0.9999196529388428
es	0.9174546003341675
es	0.7216353416442871
es	0.9260251522064209
es	0.9991471767425537
es	0.9283367991447449
es	0.8680687546730042
es	0.7530971765518188
es	1.0000308752059937
es	0.912344753742218
es	0.8979516625404358
es	0.9955604672431946
es	0.9525821208953857
es	0.9795331358909607
es	0.9999398589134216
es	0.9191001057624817
es	0.9978082776069641
es	0.9827316999435425
es	0.9981454610824585
es	0.9790921211242676
es	0.9963222146034241
es	0.9986534714698792
es	0.9966418743133545
es	0.9914131164550781
es	0.9959712028503418
es	0.9649580121040344
es	0.99489825963974
es	0.9939435124397278
es	0.9753562808036804
es	0.9992608428001404
es	0.8698058724403381
es	0.9752094745635986
es	0.9967794418334961
es	0.9989463090896606
es	0.8811125755310059
es	0.9909437894821167
es	0.9913410544395447
es	0.9976773858070374
es	0.8850674033164978
es	0.9567051529884338
es	0.9018716812133789
es	0.9860640168190002
es	0.9940835237503052
es	0.9988303780555725
es	0.9992085099220276
es	0.9957360625267029
es	0.9778719544410706
es	0.9778719544410706
es	0.9778719544410706
es	0.9778719544410706
es	0.8678267598152161
es	0.9981653690338135
es	0.794025719165802
es	0.988806426525116
es	0.9973887801170349
es	0.9151012301445007
es	0.996345579624176
es	0.9988508224487305
es	0.9980866312980652
es	0.7106947898864746
es	0.9912987351417542
es	0.895148754119873
es	0.9487667083740234
es	0.9487667083740234
es	0.9998788833618164
es	0.9991307854652405
es	0.9998807907104492
es	0.9308536052703857
es	0.9719142317771912
es	0.9917423129081726
es	0.993368923664093
es	0.9972110986709595
es	0.9998230934143066
es	0.9991262555122375
es	0.9988077878952026
es	0.9988077878952026
es	0.5743337869644165
es	0.9999982118606567
es	0.9999982118606567
es	0.9915534257888794
es	0.984886884689331
es	0.8648795485496521
es	0.9999054074287415
es	0.9949870109558105
es	0.9418062567710876
es	0.3289899230003357
es	0.994895339012146
es	0.9777031540870667
es	0.9880545139312744
es	0.9965959787368774
es	0.9975557327270508
es	0.9589383006095886
es	0.9817594885826111
es	0.9528631567955017
es	0.9990800619125366
es	0.9954143762588501
es	0.7082633972167969
es	0.7082633972167969
es	0.8987501263618469
es	0.8225939273834229
es	0.9952707290649414
es	0.9962701201438904
es	0.9153990745544434
es	0.9998661875724792
es	0.9966126680374146
es	0.9917051792144775
es	0.9454666376113892
es	0.9937183260917664
es	1.0000466108322144
es	1.0000466108322144
es	0.9801734685897827
es	0.9845908880233765
es	0.9966429471969604
es	0.9966848492622375
es	0.9720869660377502
es	0.9856961369514465
es	0.9997357726097107
es	0.8682936429977417
es	0.9860207438468933
es	0.7280678749084473
es	0.9890257120132446
es	0.986035168170929
es	0.6749526858329773
es	0.9761558175086975
es	0.7505093812942505
es	0.6771577596664429
