blr_lang	probability
be	0.9979251027107239
be	0.9958435893058777
be	0.9952490925788879
be	0.99409019947052
be	0.9142829775810242
be	0.8927711844444275
be	0.9554955363273621
be	0.9375561475753784
be	0.9941250085830688
be	0.9993194937705994
be	0.9977647066116333
be	0.9031363725662231
be	0.9992737770080566
be	0.9989960193634033
be	0.9944962859153748
be	0.9931660294532776
be	0.9980148077011108
be	0.9996767640113831
be	0.9752849340438843
be	0.9978716373443604
be	0.9986656308174133
be	0.9954031109809875
be	1.000008463859558
be	0.829636812210083
be	0.9978729486465454
be	0.9989256262779236
be	0.9916661977767944
be	0.5428581833839417
be	0.8854390978813171
be	0.9947121143341064
be	0.9861839413642883
be	0.9998489022254944
be	0.9960464239120483
be	0.9559874534606934
be	0.9939723014831543
be	0.9992775917053223
be	0.9994526505470276
be	1.0000157356262207
be	0.726102888584137
be	0.997840166091919
be	0.9999825954437256
be	0.9694242477416992
be	0.9935919642448425
be	0.9895547032356262
be	0.9994149208068848
be	0.9998446106910706
be	0.9941099286079407
be	0.9967120289802551
be	0.999752402305603
be	0.9994500875473022
be	0.9968970417976379
be	0.9989694356918335
be	0.9990298748016357
be	0.9917052388191223
be	0.8725634217262268
ru	0.7028687596321106
be	1.0000498294830322
uk	0.833166241645813
uk	0.833166241645813
uk	0.833166241645813
be	0.3919563889503479
be	0.983597993850708
be	0.9999832510948181
be	0.9999539852142334
be	0.9987308979034424
be	0.5552282333374023
be	0.9856728911399841
be	0.9718449115753174
be	1.000078797340393
be	0.8181053996086121
be	0.9998147487640381
be	0.9952318668365479
be	0.9999191164970398
be	0.9999417662620544
be	0.9858777523040771
be	0.9993837475776672
uk	0.7363731265068054
be	0.9965702891349792
be	0.9720314741134644
be	0.8794299960136414
be	0.997901976108551
be	0.983714759349823
be	0.995262086391449
be	0.9294284582138062
be	0.9982106685638428
be	0.9742410778999329
be	0.8804673552513123
be	0.9997465014457703
be	0.9579561948776245
be	0.9579561948776245
be	0.641740083694458
uk	0.9304245710372925
be	0.9923096895217896
be	0.9973384141921997
be	0.9980747699737549
be	0.9921814799308777
be	0.9090598821640015
be	0.9999904632568359
ru	0.7220638990402222
be	0.9988570213317871
be	0.5741105675697327
be	0.9922353029251099
be	0.9578946828842163
be	0.9831636548042297
be	0.998954176902771
be	0.9859038591384888
be	0.8811413645744324
be	0.9997503757476807
be	0.9638554453849792
be	0.9390949606895447
be	0.9915558695793152
be	0.8972470760345459
be	0.8070510625839233
be	0.9992328882217407
be	0.999248743057251
be	0.9790263175964355
be	0.9998148083686829
be	0.9996880888938904
be	0.988183856010437
be	0.9993575811386108
be	0.9919193983078003
be	1.0000224113464355
be	0.9949604868888855
be	0.9998629689216614
be	0.6105894446372986
be	0.9998260140419006
be	0.9990975260734558
be	0.9999709725379944
be	0.99979567527771
be	0.9925358295440674
be	0.9967714548110962
be	0.9849120378494263
be	0.9951789975166321
ru	0.8713208436965942
be	0.9990247488021851
