uz_lang	probability
en	0.20864355564117432
uz	0.4441196024417877
tg	0.5935160517692566
tr	0.7493773698806763
it	0.3026712238788605
uz	0.4485333561897278
en	0.31002938747406006
ru	0.7853105068206787
uz	0.8039824366569519
uz	0.7941502332687378
uz	0.46588972210884094
uz	0.5284023284912109
be	0.3241874575614929
ru	0.4115971326828003
uz	0.3874704837799072
uz	0.34039953351020813
uz	0.258323073387146
uz	0.36634397506713867
ru	0.5013289451599121
uz	0.7261202335357666
uz	0.6499788165092468
uz	0.9085400700569153
uz	0.41555410623550415
tt	0.7525352239608765
kk	0.9797232151031494
ru	0.9345139265060425
kk	0.5322926044464111
ru	0.7063919901847839
hu	0.27374133467674255
uz	0.31396785378456116
ky	0.1818920075893402
uz	0.28161367774009705
ru	0.39816078543663025
uz	0.7482618093490601
mk	0.29505908489227295
ba	0.6585767269134521
ba	0.6585767269134521
ru	0.8777190446853638
uz	0.8869593739509583
ru	0.9352277517318726
ru	0.9352277517318726
ru	0.8162091970443726
ba	0.5637712478637695
ru	0.8936466574668884
ru	0.999843955039978
ru	0.9659082293510437
ru	0.9659082293510437
tg	0.3715607523918152
ru	0.27130621671676636
ru	0.9154462218284607
uz	0.25015100836753845
eo	0.7632980346679688
eo	0.832640528678894
en	0.5391762852668762
uz	0.5035034418106079
uz	0.5241937637329102
uz	0.8458762764930725
uz	0.6890172958374023
tr	0.266083300113678
sr	0.544302761554718
it	0.3079460859298706
en	0.5385382771492004
en	0.6487578749656677
tr	0.3838484287261963
en	0.9084694981575012
uz	0.6215134263038635
id	0.3906225860118866
en	0.17364682257175446
tr	0.7484116554260254
en	0.2474958747625351
uz	0.44874298572540283
ru	0.5073743462562561
uz	0.9071615934371948
tr	0.400566965341568
tr	0.5417873859405518
pt	0.141292005777359
uz	0.12864473462104797
uz	0.5758290886878967
tr	0.35358479619026184
uz	0.6425888538360596
en	0.13469143211841583
uz	0.29203587770462036
tr	0.49725326895713806
id	0.339230477809906
uz	0.7697367668151855
uz	0.45485541224479675
io	0.5699101090431213
uz	0.6864805817604065
uz	0.39366284012794495
uz	0.48988857865333557
tr	0.4957638680934906
uz	0.8488126993179321
uz	0.7053427696228027
uz	0.8180468082427979
uz	0.5776882767677307
uz	0.6017834544181824
tr	0.5945183634757996
uz	0.4404350519180298
it	0.23839232325553894
uz	0.5048568844795227
uz	0.5423305630683899
uz	0.6539173722267151
uz	0.8419395089149475
uz	0.5447342991828918
uz	0.5570929050445557
en	0.3675552308559418
tr	0.25028106570243835
uz	0.44238537549972534
et	0.2234950065612793
uz	0.6699674129486084
tl	0.28128257393836975
uz	0.6197709441184998
uz	0.6836089491844177
uz	0.2323540598154068
tr	0.31216931343078613
uz	0.5885074734687805
uz	0.2696472704410553
tr	0.3965681493282318
jv	0.22139087319374084
tr	0.15075035393238068
tr	0.2830912470817566
uz	0.826433002948761
uz	0.47798413038253784
uz	0.450726181268692
uz	0.8031883239746094
uz	0.5697557926177979
tr	0.32246580719947815
is	0.22667445242404938
uz	0.8479790091514587
uz	0.5765507817268372
uz	0.19703146815299988
uz	0.33784493803977966
pt	0.35594451427459717
uz	0.23418685793876648
uz	0.6927738785743713
uz	0.2104642689228058
uz	0.4429331123828888
uz	0.43592819571495056
uz	0.5545246601104736
tr	0.2652347981929779
mk	0.24076974391937256
pt	0.20571762323379517
uz	0.31240400671958923
uz	0.63066166639328
uz	0.3803880214691162
en	0.25391703844070435
id	0.23495535552501678
uz	0.45120930671691895
en	0.4971674084663391
sl	0.21797595918178558
uz	0.9424429535865784
uz	0.5664987564086914
uz	0.43195414543151855
uz	0.6471142768859863
en	0.8834043145179749
uz	0.5454742312431335
eo	0.5220613479614258
ms	0.1514429897069931
la	0.17855632305145264
br	0.28239065408706665
hu	0.38992998003959656
hu	0.250789612531662
la	0.24081863462924957
uz	0.10950873047113419
tg	0.5288096070289612
uz	0.7127435803413391
tr	0.3690239191055298
uz	0.5359361171722412
uz	0.7295464277267456
uz	0.756396472454071
tr	0.7792289853096008
uz	0.18883882462978363
