ge_lang	probability
ka	0.9767118692398071
ka	0.9996020793914795
ka	0.9938691258430481
ka	0.9998279213905334
ka	0.9954744577407837
ka	0.9865458011627197
ka	0.9865458011627197
ka	0.9954071640968323
ka	0.9999077320098877
ka	0.9861549139022827
ka	1.0000766515731812
ka	0.979765772819519
ka	0.9988631010055542
ka	0.9996320605278015
ka	0.996931254863739
ka	1.00007963180542
ka	1.0000592470169067
ka	0.9915252327919006
ka	0.9960790872573853
ka	0.9869305491447449
ka	0.9869305491447449
ka	0.9988352060317993
ka	0.9988352060317993
ka	0.9994686245918274
ka	0.9997789859771729
ka	0.9961662888526917
ka	0.9986951351165771
ka	0.9986951351165771
ka	0.9972884654998779
ka	0.9977394342422485
ka	1.0000720024108887
ka	0.9956994652748108
ka	0.9978194832801819
ka	0.9996753334999084
ka	1.0000406503677368
ka	1.0000702142715454
ka	0.9994066953659058
ka	1.000032663345337
ka	0.999893069267273
ka	0.9996414184570312
ka	0.9999775886535645
ka	1.000041127204895
ka	1.000075340270996
ka	0.9955938458442688
ka	0.9884123802185059
ka	0.9981753826141357
ka	0.9998190402984619
ka	0.999708890914917
ka	0.9998106360435486
ka	0.9300474524497986
ka	0.9983810782432556
ka	0.9852387309074402
ka	0.9949715733528137
ka	0.9875656366348267
ka	1.0000243186950684
ka	1.0000635385513306
ka	0.9988585114479065
ka	0.9988585114479065
ka	0.9995867013931274
ka	0.9959699511528015
ka	0.9993664622306824
ka	0.9993664622306824
ka	0.847673237323761
ka	0.9996597766876221
ka	0.999234676361084
ka	0.999234676361084
ka	0.9912720322608948
ka	0.9991199374198914
ka	0.9999433755874634
ka	0.9999433755874634
ka	0.998428225517273
ka	0.9974364638328552
ka	0.9974364638328552
ka	1.0000637769699097
ka	0.9996287822723389
ka	0.9985321760177612
ka	0.9281403422355652
ka	0.7752100229263306
ka	0.9526215195655823
ka	0.9937744140625
ka	0.9998826384544373
ka	0.9933823943138123
ka	0.99920654296875
ka	0.9999988675117493
ka	0.784561038017273
ka	0.9853011965751648
ka	0.9969276785850525
ka	0.9937949776649475
ka	0.9994592070579529
ka	0.9970334768295288
ka	0.9997117519378662
ka	0.9962064623832703
ka	0.9974575042724609
ka	0.9937913417816162
ka	0.9936280846595764
ka	0.9936280846595764
ka	0.9988826513290405
ka	0.9999914765357971
ka	0.9999110698699951
ka	0.9995924830436707
ka	0.9929586052894592
ka	0.9999523162841797
ka	0.9995992183685303
ka	1.0000324249267578
ka	0.998975396156311
ka	0.9989932775497437
ka	0.9996423125267029
ka	0.9981536865234375
ka	0.9999656677246094
ka	0.9999997019767761
ka	1.0000394582748413
ka	0.9991054534912109
ka	0.9999386072158813
ka	0.9998973608016968
ka	0.9973124861717224
ka	0.8989413380622864
ka	1.0000559091567993
ka	1.0000542402267456
ka	1.0000559091567993
ka	1.0000255107879639
ka	1.0000132322311401
ka	1.0000488758087158
ka	1.000028133392334
ka	0.9929019808769226
ka	0.9987747073173523
ka	0.9944203495979309
ka	0.9959906339645386
ka	0.98566073179245
ka	1.0000313520431519
ka	1.0000793933868408
ka	1.0000537633895874
ka	1.0000628232955933
ka	1.0000725984573364
ka	1.0000704526901245
ka	0.9996435046195984
ka	1.0000584125518799
ka	1.0000584125518799
ka	0.9998611807823181
ka	1.0000615119934082
ka	1.0000756978988647
ka	1.000068187713623
ka	1.0000730752944946
ka	1.000029444694519
ka	1.000066876411438
ka	1.00006902217865
ka	1.000058889389038
ka	1.0000725984573364
ka	1.000076174736023
ka	1.000067949295044
ka	0.9998745918273926
ka	1.000049114227295
ka	1.000041127204895
ka	1.000052571296692
ka	1.00007963180542
ka	0.999961256980896
ka	1.000047206878662
ka	1.000076413154602
ka	1.0000511407852173
ka	1.0000767707824707
ka	1.0000760555267334
ka	1.0000793933868408
ka	1.0000426769256592
ka	1.0000756978988647
ka	0.9999771118164062
ka	1.00002920627594
ka	1.0000061988830566
ka	1.000004529953003
ka	1.0000669956207275
ka	0.9980998039245605
ka	1.0000250339508057
ka	0.9997342228889465
ka	0.9998020529747009
ka	0.993302583694458
ka	0.9996858835220337
ka	0.995107889175415
ka	1.0000717639923096
ka	1.0000717639923096
ka	0.9994680881500244
ka	0.9996121525764465
ka	1.0000255107879639
ka	1.0000101327896118
ka	0.9998959898948669
ka	0.9997350573539734
ka	0.9996634125709534
ka	1.0000169277191162
ka	1.000069499015808
ka	0.9996064901351929
ka	0.9996064901351929
ka	1.0000784397125244
ka	0.9970196485519409
ka	1.0000576972961426
ka	0.9998912215232849
ka	0.9999097585678101
ka	0.9999467134475708
ka	0.9999365210533142
ka	0.9938610792160034
ka	1.0000778436660767
ka	1.000077247619629
ka	1.0000617504119873
ka	0.9999350905418396
ka	0.9998751878738403
ka	0.9994998574256897
ka	0.9992003440856934
ka	0.9970550537109375
ka	1.0000776052474976
ka	0.9942074418067932
ka	0.9906280040740967
ka	0.9991368651390076
ka	0.9997848272323608
ka	0.9971705675125122
ka	0.9998073577880859
ka	0.999988317489624
ka	0.9999879002571106
ka	0.9994012117385864
ka	1.000068187713623
ka	0.9980960488319397
ka	0.9993810653686523
ka	1.000060796737671
ka	0.9999725222587585
ka	1.0000730752944946
ka	0.9999932050704956
ka	0.9987581372261047
ka	0.9545906186103821
ka	0.9999412298202515
ka	0.9997172951698303
ka	0.9981861710548401
ka	1.000070333480835
ka	0.999688446521759
ka	0.9710502624511719
ka	0.9998769760131836
ka	1.0000160932540894
ka	0.9998694658279419
ka	0.9847408533096313
ka	1.0000783205032349
ka	1.0000756978988647
ka	0.9997043609619141
ka	0.9984079599380493
ka	0.9997333288192749
ka	0.9995508790016174
ka	0.9999406933784485
ka	0.9998984336853027
ka	1.0000418424606323
ka	0.99620521068573
ka	1.0000447034835815
ka	0.998714804649353
ka	0.9999354481697083
ka	0.998968780040741
ka	0.9999443292617798
ka	1.0000203847885132
ka	0.9996275305747986
ka	0.9936797022819519
ka	0.9865071773529053
ka	0.9979727268218994
ka	0.9989811778068542
ka	0.9996400475502014
ka	0.9995753765106201
ka	1.0000734329223633
ka	0.9998523592948914
ka	0.9991750717163086
ka	0.9994595050811768
ka	0.9845508337020874
ka	0.9813929796218872
ka	0.9846839308738708
ka	0.9998171925544739
ka	0.9996533393859863
ka	0.9877322316169739
ka	0.9994977116584778
ka	0.9999659657478333
ka	0.93595290184021
ka	0.9918513298034668
ka	0.9952773451805115
ka	1.0000678300857544
ka	0.9999220967292786
ka	0.9980393648147583
ka	0.9985085725784302
ka	0.9089469909667969
ka	0.9924145936965942
ka	0.9994894862174988
ka	0.9992928504943848
ka	0.9996976256370544
ka	1.0000239610671997
ka	0.9998804926872253
ka	1.0000604391098022
ka	0.9989590048789978
ka	0.998293399810791
ka	1.0000566244125366
ka	0.9997764229774475
ka	0.9997482299804688
ka	0.929861843585968
ka	1.00005042552948
ka	1.0000320672988892
ka	0.9994487166404724
ka	0.99956876039505
ka	1.0000746250152588
ka	1.0000290870666504
ka	1.0000020265579224
ka	0.9993797540664673
ka	1.0000383853912354
ka	0.9060133099555969
ka	1.0000017881393433
ka	1.000034213066101
ka	0.9995896220207214
ka	0.9969871640205383
ka	0.9731280207633972
ka	0.9144698977470398
ka	0.9991604685783386
ka	1.0000410079956055
ka	0.9989849925041199
ka	0.9959058165550232
ka	0.9993836879730225
ka	0.9997602105140686
ka	0.9995658993721008
ka	0.9998814463615417
ka	0.9879072904586792
ka	0.9999045133590698
ka	0.9935178756713867
ka	0.9931461811065674
ka	0.9969084858894348
ka	0.9999784231185913
ka	1.0000749826431274
ka	0.9987899661064148
ka	0.9996632933616638
ka	1.0000245571136475
ka	0.9997855424880981
ka	0.9977941513061523
ka	0.9986337423324585
ka	0.9986980557441711
ka	0.9999964237213135
ka	0.9885163903236389
ka	0.9870114922523499
ka	0.9693222641944885
ka	0.9990454316139221
ka	1.000074863433838
ka	0.9992499947547913
ka	0.9974187016487122
ka	0.9999954104423523
ka	1.0000728368759155
ka	0.9717653393745422
ka	0.9998495578765869
ka	0.9992642998695374
ka	0.9983105063438416
ka	0.9990646839141846
ka	0.34752902388572693
ka	1.0000413656234741
ka	0.9935073256492615
ka	0.9979977607727051
